participant_x,AQ_score,Gender,participant_y,BlockType,Alpha_Win,Theta_Win,Rho_Win,Alpha_Loss,Theta_Loss,Rho_Loss,Neg_LL,BIC,MatchedID,Rho_Index,Ambi_Index_Alpha_Win,Ambi_Index_Alpha_Loss,Ambi_Index_Rho_Win,Ambi_Index_Rho_Loss
alka88,13,female,alka88,social,0.7725910377972871,3.5288203690446425,0.8741790856740377,0.2811943798456919,1.0,0.4999998466111256,27.883402615876292,78.99401129719993,alka88,0.37417923906291206,-0.02556656406202873,0.21975536573066728,0.053806206306233895,-0.0015394082807185239
alka88,13,female,alka88,nonsocial,0.7470244737352584,4.8271608370033405,0.9279852919802716,0.5009497455763592,1.0,0.4984604383304071,20.910718860617955,65.04864378668326,alka88,0.4295248536498645,-0.02556656406202873,0.21975536573066728,0.053806206306233895,-0.0015394082807185239
alsp92,1,male,alsp92,social,0.7483519496614373,3.134509244889984,0.5003448822423736,0.5565217839188075,1.0,0.4999999997815929,32.42035155182963,88.06790916910661,alsp92,0.0003448824607807377,0.04761714623494506,0.023195273331092614,0.29721034341797015,1.9292826015093745e-06
alsp92,1,male,alsp92,nonsocial,0.7959690958963823,3.611127133581823,0.7975552256603438,0.5797170572499001,1.0,0.5000019290641944,23.674890865736796,70.57698779692095,alsp92,0.2975532965961494,0.04761714623494506,0.023195273331092614,0.29721034341797015,1.9292826015093745e-06
anfi01,9,female,anfi01,social,0.8061541347653712,5.622355584494394,0.9544611421523445,0.3350304517576016,2.0797723240817567,0.4999986605404131,13.86387536706916,50.954956799585666,anfi01,0.45446248161193137,-0.3055371938596231,-0.11324315915072791,-0.07542611858801418,0.0002892902873351533
anfi01,9,female,anfi01,nonsocial,0.5006169409057482,3.56577614799127,0.8790350235643303,0.2217872926068737,1.0,0.5002879508277482,27.46888929743979,78.16498466032692,anfi01,0.37874707273658204,-0.3055371938596231,-0.11324315915072791,-0.07542611858801418,0.0002892902873351533
ango96,3,female,ango96,nonsocial,0.700788069534249,2.928476154576307,0.6204549276468341,0.5006530215442448,1.0,0.4999171812204881,31.718346278123683,86.66389862169471,ango96,0.12053774642634596,0.1671935959911589,0.001317077650106746,-0.2643295885720449,-8.281615322580649e-05
ango96,3,female,ango96,social,0.5335944735430901,4.044298595270003,0.884784516218879,0.4993359438941381,1.0,0.4999999973737139,23.420141426447188,70.06748891834172,ango96,0.38478451884516507,0.1671935959911589,0.001317077650106746,-0.2643295885720449,-8.281615322580649e-05
anpe97,15,female,anpe97,social,0.2618036061650089,3.869138506023092,0.7308301967325674,0.6759356782879793,1.0,0.4999999430923791,24.36760160840475,71.96240928225686,anpe97,0.23083025364018833,0.518819819875683,-0.5988591990780241,0.18293436910264016,0.00010922348946590388
anpe97,15,female,anpe97,nonsocial,0.7806234260406919,4.516967528769531,0.9137645658352076,0.0770764792099552,1.0,0.500109166581845,26.215932791192277,75.6590716478319,anpe97,0.4136553992533626,0.518819819875683,-0.5988591990780241,0.18293436910264016,0.00010922348946590388
