...1,participant,Sub_ID,Gender,Age,CorrectAns,BlockType,response_training_2.rt,trial_n,block_n,run_n,block_type_n,AQ_score,social_interaction_spontaneity,communication_reciprocity,social_dimensions,AQ_group,med_split
1,alka88,alka88,female,33,TRUE,nonsocial,1.2295,36,2,2,1,13,5,3,8,Q3,High AQ
2,alka88,alka88,female,33,TRUE,social,1.3245,1,1,0,1,13,5,3,8,Q3,High AQ
3,alka88,alka88,female,33,FALSE,social,1.1666,2,1,0,1,13,5,3,8,Q3,High AQ
4,alka88,alka88,female,33,TRUE,nonsocial,0.8965,40,2,3,1,13,5,3,8,Q3,High AQ
5,alka88,alka88,female,33,TRUE,nonsocial,1.552,37,2,3,1,13,5,3,8,Q3,High AQ
6,alka88,alka88,female,33,TRUE,nonsocial,1.4794,38,2,3,1,13,5,3,8,Q3,High AQ
7,alka88,alka88,female,33,TRUE,nonsocial,2.0665,35,2,2,1,13,5,3,8,Q3,High AQ
8,alka88,alka88,female,33,TRUE,social,3.222,5,1,1,1,13,5,3,8,Q3,High AQ
9,alka88,alka88,female,33,FALSE,social,2.0002,49,3,0,2,13,5,3,8,Q3,High AQ
10,alka88,alka88,female,33,FALSE,social,1.4336,50,3,0,2,13,5,3,8,Q3,High AQ
11,alka88,alka88,female,33,TRUE,nonsocial,1.3308,39,2,3,1,13,5,3,8,Q3,High AQ
12,alka88,alka88,female,33,FALSE,nonsocial,1.5339,48,2,5,1,13,5,3,8,Q3,High AQ
13,alka88,alka88,female,33,TRUE,social,1.62,53,3,1,2,13,5,3,8,Q3,High AQ
14,alka88,alka88,female,33,FALSE,social,2.3142,54,3,1,2,13,5,3,8,Q3,High AQ
15,alka88,alka88,female,33,FALSE,social,1.0467,51,3,0,2,13,5,3,8,Q3,High AQ
16,alka88,alka88,female,33,TRUE,social,1.1857,52,3,0,2,13,5,3,8,Q3,High AQ
17,alka88,alka88,female,33,TRUE,social,4.5534,17,1,4,1,13,5,3,8,Q3,High AQ
18,alka88,alka88,female,33,TRUE,social,2.9002,6,1,1,1,13,5,3,8,Q3,High AQ
19,alka88,alka88,female,33,TRUE,social,1.0403,15,1,3,1,13,5,3,8,Q3,High AQ
20,alka88,alka88,female,33,TRUE,social,1.0245,16,1,3,1,13,5,3,8,Q3,High AQ
21,alka88,alka88,female,33,FALSE,social,1.0108,20,1,4,1,13,5,3,8,Q3,High AQ
22,alka88,alka88,female,33,TRUE,social,5.8432,21,1,5,1,13,5,3,8,Q3,High AQ
23,alka88,alka88,female,33,TRUE,social,0.5782,22,1,5,1,13,5,3,8,Q3,High AQ
24,alka88,alka88,female,33,TRUE,social,1.5579,23,1,5,1,13,5,3,8,Q3,High AQ
