,Sub_ID,Stim,BlockType,Alpha,Theta,neg_ll,BIC
0,pada94,56,nonsocial,0.8291000865559572,1.0,8.051114699954942,21.072042699485884
1,pada94,76,nonsocial,0.010560345594696981,50.0,6.150832378739099,17.2714780570542
2,pada94,46,nonsocial,0.8755434000144613,50.0,2.4115109364447793,9.792835172465558
3,pada94,16,nonsocial,0.02965268077261739,50.0,5.157526927355821,15.284867154287642
4,pada94,23,social,0.19990068001622302,50.0,0.8062737561183796,6.58236081181276
5,pada94,93,social,0.12152243582026459,50.0,1.8786658057510652,8.727144911078131
6,pada94,13,social,0.029865570878208764,50.0,5.1626992736181645,15.295211846812329
7,pada94,71,social,0.5829653060537126,3.7502721822349407,6.67016949900985,18.3101522975957
8,lira02,30,nonsocial,0.003292912112645648,50.0,7.917196103867049,20.804205507310098
9,lira02,56,nonsocial,0.011635693714963218,50.0,6.885119060349401,18.740051420274803
10,lira02,74,nonsocial,0.01183275324066694,50.0,6.722530777018627,18.414874853613256
11,lira02,78,nonsocial,1.0,25.02309071320408,0.6931508645639208,6.356115028703842
12,lira02,59,social,0.9278667550907072,50.0,4.028839938878702,13.027493177333405
13,lira02,71,social,0.6984650952385174,50.0,1.422710691107361,7.815234681790723
14,lira02,53,social,0.0,1.0,8.317766166719343,21.605345633014686
15,lira02,19,social,1.0,1.5990321106148115,6.321747585727682,17.613308471031363
16,beka93,10,social,0.04337758855545038,50.0,5.121121951644916,15.212057202865832
17,beka93,38,social,0.16935708072156355,11.783239448883512,4.575615834882878,14.121044969341757
18,beka93,20,social,0.11417167340834723,50.0,2.410168057399125,9.790149414374252
19,beka93,76,social,0.1845072967223865,7.850601390638612,4.5435449710754545,14.05690324172691
20,beka93,89,nonsocial,0.3900100236361887,50.0,2.0721789029941484,9.114171105564298
21,beka93,65,nonsocial,0.006925176365294289,50.0,7.501038001847902,19.971889303271805
22,beka93,21,nonsocial,0.31203645109744804,50.0,0.693850494475958,6.357514288527916
23,beka93,91,nonsocial,0.7829110680920338,2.801408419276642,6.2105998072600626,17.391012914096127
24,mada01,20,social,0.050643144726283625,50.0,3.362202262459665,11.69421782449533
25,mada01,14,social,0.004513446444516069,50.0,7.88123937204929,20.73229204367458
26,mada01,52,social,0.007893911571384358,50.0,6.636404409414643,18.242622118405286
27,mada01,38,social,1.0,27.810908001550693,0.6931572343669876,6.356127768309976
28,mada01,27,nonsocial,0.5427547172472466,2.91404797016925,6.568232991177909,18.10627928193182
29,mada01,53,nonsocial,1.0,1.7944227709206106,6.524743251154589,18.01929980188518
30,mada01,95,nonsocial,1.0,27.810908001550693,0.6931572343669876,6.356127768309976
31,mada01,99,nonsocial,0.15441455243309513,50.0,0.735141076008768,6.440095451593537
32,chga99,34,nonsocial,0.010817487756774947,50.0,7.55489120193383,20.079595703443662
33,chga99,68,nonsocial,0.024023059350702595,50.0,3.800247185097087,12.570307669770175
34,chga99,64,nonsocial,0.0054298257763965236,50.0,7.987570818086834,20.944954935749667
35,chga99,74,nonsocial,1.0,1.2196731571443262,7.02290472053335,19.0156227406427
36,chga99,33,social,0.009777319013465211,50.0,6.462545116210917,17.894903531997834
37,chga99,51,social,0.5425261723852791,3.060980267576485,4.519996877354369,14.009807054284739
38,chga99,75,social,0.5284744546250449,4.441522774351074,5.390003486221877,15.749820272019754
39,chga99,73,social,0.025984694487843244,50.0,2.9467182428593066,10.863249785294613
40,hase90,38,nonsocial,1.0,1.9608863739694433,5.973735223491598,16.917283746559196
41,hase90,92,nonsocial,0.22512961754787797,1.1391119031699153,8.054207380932235,21.07822806144047
42,hase90,62,nonsocial,0.009683712537365613,50.0,7.083512633562207,19.136838566700415
43,hase90,98,nonsocial,0.01719733637696596,50.0,7.70370649552266,20.37722629062132
44,hase90,59,social,0.0,1.0,8.317766166719343,21.605345633014686
45,hase90,29,social,1.0,1.0,7.980198308751054,20.93020991707811
46,hase90,15,social,0.0,1.0,8.317766166719343,21.605345633014686
47,hase90,99,social,0.0,1.0,8.317766166719343,21.605345633014686
48,mike91,82,nonsocial,0.005445958456970367,50.0,8.118365340374547,21.206543980325094
49,mike91,92,nonsocial,1.0,1.0,7.679726532964002,20.329266365504004
50,mike91,66,nonsocial,0.1861799062316601,7.635144085587694,4.49119761895106,13.952208537478121
51,mike91,12,nonsocial,1.0,27.112528925015894,2.0794493173959983,9.128711934367997
52,mike91,59,social,0.007086330498792526,14.536176761527372,8.191385385573476,21.35258407072295
53,mike91,17,social,0.6752779089797373,50.0,0.6936059050658806,6.357025109707762
54,mike91,11,social,0.013736852058227464,50.0,5.954812285774067,16.879437871124136
55,mike91,65,social,0.17875714511580007,1.7511673835531216,7.573352434663308,20.116518168902616
56,nona99,14,nonsocial,1.0,50.0,4.158883083373559,13.28757946632312
57,nona99,36,nonsocial,0.00330414211409712,50.0,7.9157284273981645,20.80127015437233
58,nona99,64,nonsocial,1.0,1.1523059287657516,7.6303104654735465,20.230434230523095
59,nona99,90,nonsocial,0.006222461085624734,50.0,7.293443081662081,19.556699462900163
60,nona99,87,social,0.029713524460721005,50.0,3.157911221514478,11.285635742604956
61,nona99,17,social,0.4924383706357955,1.0097854712441345,7.830417862531075,20.63064902463815
62,nona99,53,social,0.0072798543865779585,50.0,7.220114779885,19.410042859346
63,nona99,73,social,1.0,1.163967652557829,6.93653804316737,18.84288938591074
64,ango96,54,social,0.3470114057369351,5.4833133418379205,4.941499886297991,14.852813072171983
65,ango96,16,social,1.0,1.960886368425353,5.973735223491597,16.917283746559196
66,ango96,22,social,0.04221014167198363,50.0,3.2229244032950075,11.415662106166016
67,ango96,38,social,0.006198855441320339,50.0,7.58588315268046,20.141579604936922
68,ango96,45,nonsocial,1.0,1.0,8.100312815709332,21.170438930994663
69,ango96,87,nonsocial,0.0037462542016220065,50.0,8.224957016647975,21.41972733287195
70,ango96,85,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
71,ango96,29,nonsocial,0.02028518036071133,50.0,4.788792718706369,14.54739873698874
72,supu93,64,nonsocial,0.25520341401209273,2.431518983397959,7.043597894450476,19.057009088476953
73,supu93,50,nonsocial,1.0,25.02309071320408,0.6931508645639208,6.356115028703842
74,supu93,86,nonsocial,0.9834697447649285,50.0,1.979126747130331,8.928066793836663
75,supu93,98,nonsocial,0.31203646321769896,50.0,0.6938504944759583,6.357514288527917
76,supu93,47,social,0.0086989446604037,50.0,7.042768527595772,19.055350354767544
77,supu93,61,social,0.01098277250835648,50.0,5.7097450071457025,16.389303313867405
78,supu93,57,social,0.004425999085139282,50.0,7.630748944069391,20.231311187714784
79,supu93,43,social,0.0013926836465411236,50.0,8.265796003800961,21.501405307177922
80,sisp99,88,social,0.7993835388102369,3.3658717382655152,5.576377610218872,16.122568520013743
81,sisp99,78,social,0.2820307254011317,4.923227318277399,5.459563092014182,15.888939483604364
82,sisp99,16,social,0.0,1.0,8.317766166719343,21.605345633014686
83,sisp99,94,social,0.0,1.0,8.317766166719343,21.605345633014686
84,sisp99,47,nonsocial,0.16698864811142847,1.0,8.31253740799633,21.59488811556866
85,sisp99,71,nonsocial,1.0,1.219673185036081,7.022904720533349,19.015622740642698
86,sisp99,89,nonsocial,0.6767899681927625,1.933348726927466,7.071723136951105,19.11325957347821
87,sisp99,63,nonsocial,0.14508029144379025,1.7008679161737892,7.96384802731024,20.89750935419648
88,caka98,54,nonsocial,0.01724291475898256,50.0,5.664388509828021,16.298590319232044
89,caka98,48,nonsocial,0.010823364998188112,50.0,6.726234504514326,18.422282308604654
90,caka98,58,nonsocial,0.0,1.0,8.317766166719343,21.605345633014686
91,caka98,34,nonsocial,0.17053083068427927,8.154525497207693,7.816589242219544,20.60299178401509
92,caka98,13,social,0.5425261723852791,3.060980267576485,4.519996877354369,14.009807054284739
93,caka98,73,social,0.021655624681039896,50.0,3.562466517880129,12.094746335336259
94,caka98,43,social,0.19990068001622302,50.0,0.8062737561183796,6.58236081181276
95,caka98,89,social,0.570244150348399,3.0452827201278088,4.585573807535567,14.140960914647135
96,papa97,92,nonsocial,1.0,1.0,8.280670084538105,21.53115346865221
97,papa97,96,nonsocial,0.7722110208405879,1.0,8.032485940678713,21.034785180933426
98,papa97,28,nonsocial,0.01815287508929727,50.0,5.168795598600051,15.307404496776101
99,papa97,76,nonsocial,1.0,1.0,8.059612026005723,21.089037351587447
