left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,ParticipantAnswer,response_training.rt,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,91,,0,0,0,0,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,,0,0,1,1,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,99,left,0,0,2,2,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,A,1.4153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,right,0,0,3,3,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,B,4.0708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,98,left,0,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,A,2.1906,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,39,,0,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,,,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,53,,0,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,,,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,43,right,0,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,B,2.4326,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,right,0,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,B,1.0342,,,,,,"[[""B"",""A"",""A"",""B""],[""B"",""B"",""A"",""A""]]",No,0,0,0,1,1,A,,,,,,,,,,,,,,,,,,,,,
A,B,99,right,0,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,ivmi00,001,2022-05-13_15h11.45.432,RALT_PLD,2020.2.10,Win32,60,B,1.1616,,,,,,"[[""B"",""A"",""A"",""B""],[""B"",""B"",""A"",""A""]]",No,0,1,1,0,1,A,,,,,,,,,,,,,,,,,,,,,
