left,right,stim,response_training.keys,response_training.corr,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,ParticipantAnswer,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,43,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.6235,Incongruent,0,social,0,0,0,0,1,,,,,,,,,,
B,A,75,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,0.4465,Congruent,0,social,1,0,1,0,1,,,,,,,,,,
B,A,73,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.9696,Incongruent,0,social,2,0,2,0,1,,,,,,,,,,
B,A,91,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,1.1578,Congruent,1,social,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1
B,A,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.7271,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,left,0,0.3666,Congruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.5324,Congruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,0.4896,Congruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.8287,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.5061,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.5971,Incongruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,left,0,0.5923,Incongruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
B,A,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,0.4253,Congruent,0,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.5335,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.6005,Incongruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,A,right,0,0.563,Congruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
A,B,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,0.4711,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,right,0,0.0328,Congruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,left,0,0.41,Congruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,0.4035,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
A,B,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,0.5145,Incongruent,0,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,0.5144,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,right,0,0.4869,Incongruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,right,0,0.3681,Congruent,0,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
B,A,40,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.6768,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,60,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,left,0,0.5128,Congruent,0,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,96,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,A,right,0,0.1,Congruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,46,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,left,0,0.3452,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1
A,B,75,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,B,right,0,0.5785,Incongruent,0,social,0,0,0,0,1,,,,,,,,,,
A,B,43,,,,,,,,,,,,,matr95,001,2022-04-21_15h09.57.088,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,B,right,0,0.3825,Congruent,0,social,1,0,1,0,1,,,,,,,,,,
