left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,38,A,left,0,0.0009,0,0,0,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,3.0118,0,1,1,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,99,B,right,0,1.87,0,2,2,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,91,B,right,0,3.0875,0,3,3,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,98,A,left,0,1.9022,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,53,A,left,0,2.1543,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,39,A,left,0,2.0168,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,43,B,right,0,1.4494,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.9009,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""B"",""A"",""A""],[""B"",""A"",""B"",""A""]]",Yes,0,0,0,1,1,A,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,0.7253,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""B"",""A"",""A""],[""B"",""A"",""B"",""A""]]",No,0,1,1,3,1,B,,,,,,,,,,,,,,,,,,,,
A,B,99,B,right,0,1.3123,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""B"",""A"",""A""],[""B"",""A"",""B"",""A""]]",No,0,2,2,0,1,A,,,,,,,,,,,,,,,,,,,,
A,B,91,A,left,0,1.5242,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""B"",""A"",""A""],[""B"",""A"",""B"",""A""]]",No,0,3,3,2,1,B,,,,,,,,,,,,,,,,,,,,
B,A,68,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,2.9796,Congruent,social,0,0,0,0,1,,,,,,,,,,
B,A,34,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.6615,Congruent,social,1,0,1,0,1,,,,,,,,,,
B,A,62,B,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,2.4604,Congruent,social,2,0,2,0,1,,,,,,,,,,
B,A,48,A,,,,,,,,,,,,,,kaba96,001,2022-02-23_13h11.45.478,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.5065,Congruent,social,3,0,3,0,1,,,,,,,,,,
