left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,Congr/Incongr,Reward,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
B,A,38,B,left,0,5.8164,0,0,0,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,91,B,left,0,2.1292,0,1,1,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,99,B,left,0,2.1183,0,2,2,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,38,A,right,0,3.7981,0,3,3,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,43,B,left,0,3.2116,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,39,B,left,0,4.6665,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,53,A,right,0,3.8727,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,98,B,left,0,1.8648,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,91,B,left,0,1.7047,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""B"",""A"",""A""],[""B"",""B"",""A"",""A""]]",Yes,0,0,0,2,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,38,A,right,0,1.6683,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""B"",""A"",""A""],[""B"",""B"",""A"",""A""]]",No,0,1,1,3,1,B,,,,,,,,,,,,,,,,,,,,,
B,A,38,B,left,0,1.3398,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""B"",""A"",""A""],[""B"",""B"",""A"",""A""]]",No,0,2,2,1,1,A,,,,,,,,,,,,,,,,,,,,,
B,A,99,B,left,0,1.7419,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""B"",""A"",""A""],[""B"",""B"",""A"",""A""]]",No,0,3,3,0,1,A,,,,,,,,,,,,,,,,,,,,,
B,A,92,B,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,2.0349,Incongruent,0,nonsocial,0,0,0,0,1,,,,,,,,,,
B,A,32,A,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.1828,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
B,A,12,B,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,4.3624,Incongruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
B,A,60,B,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,2.0679,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
A,B,12,B,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,4.1089,Incongruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,60,B,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.7609,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,32,A,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,5.6094,Congruent,1,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,92,B,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.5064,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
A,B,92,B,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.7078,Congruent,1,nonsocial,0,0,0,0,1,,,,,,,,,,
A,B,32,A,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.9028,Congruent,1,nonsocial,1,0,1,0,1,,,,,,,,,,
A,B,12,B,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,1.3431,Congruent,0,nonsocial,2,0,2,0,1,,,,,,,,,,
A,B,60,B,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.5955,Congruent,1,nonsocial,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,maro96,001,2022-05-18_13h19.56.589,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
