left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,BlockType,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Congr/Incongr,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,99,B,right,0,0.9501,0,0,0,0,1,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,A,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.6047,0,1,1,1,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,A,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.0242,0,2,2,3,1,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,B,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,91,A,left,0,2.0927,0,3,3,2,1,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,B,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,39,B,right,0,2.3223,,,,,,39,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,43,A,left,0,1.753,,,,,,43,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,98,A,left,0,1.2094,,,,,,98,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,B,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,53,B,right,0,2.0916,,,,,,53,Stimuli/neutral/Still.jpg,Stimuli/nonsocial/Right Tick.mp4,Stimuli/nonsocial/Wrong Tick.mp4,A,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,99,A,left,0,1.8434,,,,,,99,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""A"",""B"",""B""]]",Yes,0,0,0,0,1,A,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,2.0953,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""A"",""B"",""B""]]",Yes,0,1,1,1,1,A,,,,,,,,,,,,,,,,,,,,
A,B,91,A,left,0,1.1778,,,,,,91,Stimuli/neutral/Still.jpg,Stimuli/social/happy/F01-Happy Women.mp4,Stimuli/social/angry/F04-Angry Women.mp4,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""A"",""B"",""B""]]",No,0,2,2,2,1,B,,,,,,,,,,,,,,,,,,,,
A,B,38,B,right,0,2.8649,,,,,,38,Stimuli/neutral/Still.jpg,Stimuli/social/happy/M02-Happy Man.mp4,Stimuli/social/angry/M06-Angry Man.mp4,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,"[[""B"",""A"",""B"",""A""],[""A"",""A"",""B"",""B""]]",Yes,0,3,3,3,1,B,,,,,,,,,,,,,,,,,,,,
B,A,28,B,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.5682,nonsocial,0,0,0,0,1,,,,,,,,,,,
B,A,20,B,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.8441,nonsocial,1,0,1,0,1,Congruent,,,,,,,,,,
B,A,86,A,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,1.4667,nonsocial,2,0,2,0,1,,,,,,,,,,,
B,A,76,A,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,0.9323,nonsocial,3,0,3,0,1,Congruent,,,,,,,,,,
,,,,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,28,A,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,3.7248,nonsocial,0,0,0,0,1,Congruent,,,,,,,,,,
B,A,76,B,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.908,nonsocial,1,0,1,0,1,,,,,,,,,,,
B,A,20,B,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.7014,nonsocial,2,0,2,0,1,Congruent,,,,,,,,,,
B,A,86,B,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,4.5994,nonsocial,3,0,3,0,1,Incongruent,,,,,,,,,,
,,,,,,,,,,,,,,,,,giba96,001,2022-03-02_17h01.29.075,RALT_PLD,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
