,Sub_ID,Stim,BlockType,Alpha,Theta,Rho,neg_ll,BIC
0,pada94,56,nonsocial,0.061116869914052414,50.0,0.10731620277606094,6.710784020579998,20.876287990524
1,pada94,76,nonsocial,4.5397868702434395e-05,1.0,4.5397868702434395e-05,8.318061181162276,24.090842311688554
2,pada94,46,nonsocial,0.8752278122009929,50.0,0.9999545825422221,2.429173664988845,12.313067279341691
3,pada94,16,nonsocial,4.5397868702434395e-05,1.0000000000000029,0.004509068523990099,8.317900592416963,24.090521134197928
4,pada94,23,social,0.19965731836526052,50.0,0.9999546021312976,0.8167414737095952,9.088202896783192
5,pada94,93,social,0.12149921889895815,50.0,0.9999546021312976,1.8891051946596595,11.232930338683321
6,pada94,13,social,0.3628311797771753,29.788659585868857,0.14734379963849698,4.429396938153428,16.31351382567086
7,pada94,71,social,0.9020866243605374,50.0,0.5020981541066147,5.758922945396217,18.972565840156435
8,lira02,30,nonsocial,0.005856482594871338,50.0,0.39298357630191516,7.9118678714664314,23.278455692296866
9,lira02,56,nonsocial,0.011636015131503443,50.0,0.9999546021312976,6.8951263306868755,21.244972610737754
10,lira02,74,nonsocial,4.5397868702434395e-05,1.0,0.0015264702875898292,8.31778842917987,24.090296807723742
11,lira02,78,nonsocial,0.3934160594499261,50.0,0.5178713793474385,0.697685289902503,8.850090529169007
12,lira02,59,social,0.9277950248381511,50.0,0.9999546021312976,4.047454345216655,15.549628639797312
13,lira02,71,social,0.5800105426476918,50.0,0.8405260153305839,1.4217698065974707,10.298259562558943
14,lira02,53,social,0.8412851459798969,50.0,4.5397868702434395e-05,6.9788849665733705,21.41248988251074
15,lira02,19,social,0.9813082293279815,16.438767595700234,0.12432470023389339,5.071543888230469,17.59780772582494
16,beka93,10,social,0.04337725522498787,50.0,0.9999546021312976,5.131438999814786,17.71759794899357
17,beka93,38,social,0.11037187989858833,50.0,0.688687374550223,3.856591887341492,15.167903724046987
18,beka93,20,social,0.1141582960003743,50.0,0.9999546021312976,2.420381240492637,12.295482430349274
19,beka93,76,social,0.373000978125347,44.207451268597104,0.08144233465014133,44.38547589841386,96.22567174619172
20,beka93,89,nonsocial,0.9999546021163291,38.14200281186042,0.9999546021293932,21.16784420425714,49.79040835787828
21,beka93,65,nonsocial,0.00692528012773987,50.0,0.9999546021312976,7.5110494251916915,22.476818799747385
22,beka93,21,nonsocial,0.3023925337416888,50.0,0.99972022053106,0.7047930984211619,8.864306146206324
23,beka93,91,nonsocial,0.01695876125881707,50.0,0.9999546021312976,6.225176008428642,19.905071966221286
24,mada01,20,social,0.05064470527247012,50.0,0.9999546021312976,3.372432200782257,14.199584350928514
25,mada01,14,social,0.005307745390966362,50.0,0.7574899772036436,7.887931136487287,23.230582222338576
26,mada01,52,social,0.019022858266742756,50.0,0.4628423781920207,6.552532711611789,20.55978537258758
27,mada01,38,social,0.32975121358238024,50.0,0.9999545954605092,0.7044977594244896,8.86371546821298
28,mada01,27,nonsocial,0.1306160396698699,50.0,0.5277860507360939,5.283331887509143,18.02138372438229
29,mada01,53,nonsocial,0.8953657230652068,50.0,0.03632192337842406,5.6688825760905095,18.79248510154502
30,mada01,95,nonsocial,0.33014081990400085,50.0,0.999456806528449,0.704489978326078,8.863699906016157
31,mada01,99,nonsocial,0.15432454734813097,50.0,0.9999546021312976,0.7454088359246435,8.945537621213289
32,chga99,34,nonsocial,0.07986486148967638,50.0,0.4413699208776143,6.440324887182367,20.335369723728736
33,chga99,68,nonsocial,0.024023552057587924,50.0,0.9999546021312976,3.8102975762322413,15.075315101828483
34,chga99,64,nonsocial,0.015078810910159952,50.0,5.88367189606033e-05,7.789832010154663,23.03438396967333
35,chga99,74,nonsocial,0.9194618579517101,50.0,0.03473665357971719,6.192671063830794,19.84006207702559
36,chga99,33,social,4.5397868702434395e-05,1.0,0.00013457910779736054,8.317902265155043,24.090524479674087
37,chga99,51,social,0.445417075417475,50.0,0.2784083268933243,2.867336223868045,13.189392397100091
38,chga99,75,social,0.5270340316755528,4.4461325380219945,0.9999546021312976,5.402869964008989,18.26045987738198
39,chga99,73,social,0.33632553173774793,50.0,0.479359648503121,2.028701666821273,11.512123283006549
40,hase90,38,nonsocial,0.9999546021312976,1.960957883415917,0.9999545435455174,5.993749865217091,19.442219679798185
41,hase90,92,nonsocial,0.5529945234087301,50.0,0.013547525768833968,6.116320186300973,19.687360321965947
42,hase90,62,nonsocial,0.009683988883074644,50.0,0.9999546021312976,7.093520085363682,21.641760120091366
43,hase90,98,nonsocial,0.04544435840388414,50.0,0.6881228202393271,7.370852069688852,22.196424088741708
44,hase90,59,social,0.06208294214965498,50.0,0.22739304009639125,7.409304443912729,22.27332883718946
45,hase90,29,social,0.1424743779720721,10.516240436208927,0.1043828413746007,7.825467948864084,23.10565584709217
46,hase90,15,social,0.04222834368638876,50.0,0.14125492362715086,7.425775941104801,22.306271831573603
47,hase90,99,social,0.0045789191095854005,50.0,4.5397868702434395e-05,8.205354218562526,23.865428386489054
48,mike91,82,nonsocial,0.01376719340948934,50.0,0.22540819398360074,7.953382524465901,23.361484998295804
49,mike91,92,nonsocial,0.0755727931530021,50.0,0.2289034270576981,6.447858178966123,20.35043630729625
50,mike91,66,nonsocial,4.5397868702434395e-05,1.0,0.04466655587698086,8.318048718422675,24.090817386209352
51,mike91,12,nonsocial,0.9999546021312976,50.0,0.6943561239716656,2.0953512770450176,11.645422503454036
52,mike91,59,social,0.026860550195642256,50.0,0.21055855461335055,7.5047917224828,22.4643033943296
53,mike91,17,social,0.6575220045543224,50.0,0.9999541241852753,0.7080332893350959,8.870786528034193
54,mike91,11,social,0.015210923010884345,45.05292931931266,0.9999546021312976,5.967039861614106,19.388799672592214
55,mike91,65,social,0.0479198991029039,50.0,0.29572608784424764,6.672590889551615,20.799901728467233
56,nona99,14,nonsocial,0.5163979981199086,50.0,0.08699453207455343,3.3610813279804788,14.176882605324959
57,nona99,36,nonsocial,0.12043171042187059,26.526655750840973,0.08366053007988039,6.765475852319395,20.985671654002793
58,nona99,64,nonsocial,0.9999546021312976,1.1523745318150211,0.9999546021312976,7.650375614670081,22.755471178704163
59,nona99,90,nonsocial,0.006222683540624338,50.0,0.9999546021312976,7.30344514285205,22.061610235068102
60,nona99,87,social,0.02971506205318857,50.0,0.9999546021312976,3.1679212051185575,13.790562359601116
61,nona99,17,social,0.060976030775825196,50.0,0.2446181171982857,6.438357650696444,20.33143525075689
62,nona99,53,social,4.5397868702434395e-05,1.000000000000001,4.5397868702434395e-05,8.317902323398313,24.090524596160627
63,nona99,73,social,4.5397868702434395e-05,1.0000000000000013,0.0007401099554637333,8.317901942168595,24.09052383370119
64,ango96,54,social,0.34653515421125997,49.941700089934,0.5549029116603136,4.945780737615096,17.346281424594196
65,ango96,16,social,0.5783709402834117,50.0,0.11207459652609711,4.595516428730757,16.645752806825513
66,ango96,22,social,0.05985222919942696,50.0,0.8642534723701877,3.191450494272856,13.837620937909714
67,ango96,38,social,0.8792998417180918,50.0,0.010024400692078729,6.7627496285096855,20.980219206383374
68,ango96,45,nonsocial,4.5397868702434395e-05,1.0000000000000002,4.5397868702434395e-05,8.317788864277968,24.09029767791994
69,ango96,87,nonsocial,0.9994894736031087,23.47804209793786,0.00011529895549026293,7.634625689326699,22.7239713280174
70,ango96,85,nonsocial,4.5397868702434395e-05,1.0,0.02705696602555356,8.318063018289804,24.09084598594361
71,ango96,29,nonsocial,0.8059850969173323,50.0,0.09528774292212659,2.1675254661055456,11.789770881575093
72,supu93,64,nonsocial,0.12780447502491196,50.0,0.25091755850204966,5.136760479023135,17.72824090741027
73,supu93,50,nonsocial,0.39340504647709734,50.0,0.5178562641558769,0.6976852898698868,8.850090529103776
74,supu93,86,nonsocial,0.5142468471097545,50.0,0.33500715428951616,0.7859269420813279,9.026573833526657
75,supu93,98,nonsocial,0.302441632705623,50.0,0.9999546011147378,0.7047943352350924,8.864308619834187
76,supu93,47,social,0.008698640094236064,50.0,0.9999546021312976,7.052847996294356,21.560415941952712
77,supu93,61,social,0.07621411509653092,50.0,0.4761728366663239,5.285954353767664,18.02662865689933
78,supu93,57,social,0.004426094063631956,50.0,0.9999546021312976,7.640756400224176,22.736232749812352
79,supu93,43,social,0.020635622521127238,50.0,0.2010075480447579,7.78397678102642,23.02267351141684
80,sisp99,88,social,0.035085545241840176,50.0,0.4936560789274157,6.212904336024495,19.880528621412992
81,sisp99,78,social,0.03831397961712479,50.0,0.6186744140820082,5.334205021137717,18.123129991639438
82,sisp99,16,social,0.7007478510032117,50.0,4.5397868702434395e-05,6.518347438350141,20.491414826064286
83,sisp99,94,social,4.5397868702434395e-05,1.0,0.00018790289782677575,8.31778891207049,24.090297773504982
84,sisp99,47,nonsocial,0.04775909023005355,50.0,0.5171343254142247,7.810727226548923,23.076174402461845
85,sisp99,71,nonsocial,0.9999546021312976,23.57142295099376,0.04661518040920314,6.588309908769011,20.631339766902023
86,sisp99,89,nonsocial,0.6737316887966144,1.9358765971720218,0.9999546021312976,7.086300471946114,21.62732089325623
87,sisp99,63,nonsocial,0.05981866896478059,50.0,0.15297228778603267,6.546462263208973,20.547644475781947
88,caka98,54,nonsocial,0.66848658052769,50.0,0.10004938648682875,3.0084082913808947,13.471536532125791
89,caka98,48,nonsocial,0.8758794320491887,50.0,0.029542455093738703,5.67058257322078,18.79588509580556
90,caka98,58,nonsocial,0.07790268907826575,14.477304055578445,4.5397868702434395e-05,7.8511440426094685,23.157008034582937
91,caka98,34,nonsocial,0.9999546021312976,25.704865749601357,0.042734385211470216,7.111529529368188,21.67777900810038
92,caka98,13,social,4.5397868702434395e-05,1.0,0.0031043399745967508,8.31805855788266,24.09083706512932
93,caka98,73,social,0.021656162891570324,50.0,0.9999546021312976,3.572511208268614,14.599742365901228
94,caka98,43,social,0.19965719697675358,50.0,0.9999546021312976,0.8167414737096726,9.088202896783347
95,caka98,89,social,0.46463772807414233,50.0,0.2712251570111722,2.8975701671764007,13.249860283716803
96,papa97,92,nonsocial,4.5397868702434395e-05,1.0,4.5397868702434395e-05,8.317788865308337,24.090297679980676
97,papa97,96,nonsocial,0.6193558492776098,10.614114029345188,0.13635796305562758,7.167213025561873,21.789146000487747
98,papa97,28,nonsocial,0.5087518853852196,50.0,0.09844414219752856,3.0934946387148448,13.64170922679369
99,papa97,76,nonsocial,0.6216584004858494,5.053937362901064,0.01132257798950339,7.492575400237851,22.439870749839706
100,papa97,99,social,0.039862394496297394,50.0,0.22318053114449096,6.96097679659701,21.376673542558024
101,papa97,39,social,4.5397868702434395e-05,1.0000000000000002,8.79247043008588e-05,8.31778887894683,24.090297707257662
102,papa97,91,social,0.0668864937633895,50.0,0.3937078441296046,6.433829213596301,20.322378376556603
103,papa97,17,social,0.0035440437209739014,50.0,4.5397868702434395e-05,8.230536078591527,23.915792106547055
104,kaho97,14,social,0.058465218567619964,50.0,0.3686542243282209,5.684052563216209,18.82282507579642
105,kaho97,22,social,0.05929902522637801,50.0,0.18305843233723892,6.592594545301275,20.639909039966554
106,kaho97,88,social,0.19966690514375543,50.0,0.9999546021312976,0.816727486490563,9.088174922345127
107,kaho97,86,social,0.02742039543899282,50.0,0.4156218083844429,6.819340289518507,21.093400528401016
108,kaho97,31,nonsocial,0.32985074129341657,50.0,0.9999545871540869,0.704497758632674,8.86371546662935
109,kaho97,77,nonsocial,0.0684550580937992,50.0,0.7587263599581644,2.1580683202819166,11.770856589927835
110,kaho97,53,nonsocial,0.9999546021312976,1.0,0.9999546021312976,7.562066457067337,22.578852863498675
111,kaho97,85,nonsocial,0.8708917244665193,50.0,0.5751235546264591,2.544389105032528,12.543498159429056
112,hese83,40,nonsocial,4.5397868702434395e-05,1.0,0.03091060318739177,8.31778788739848,24.09029572416096
113,hese83,60,nonsocial,0.0030121179159118784,50.0,0.0818896770664703,8.237280909915592,23.929281769195185
114,hese83,46,nonsocial,0.024693801889442715,15.855348744026191,0.9861762237538597,7.446193508152833,22.347106965669667
115,hese83,68,nonsocial,0.6146134924942183,50.0,0.3191479393560543,0.7399722683755254,8.934664486115052
116,hese83,59,social,4.5397868702434395e-05,1.000000000000001,7.012991508167415e-05,8.317788844173336,24.090297637710673
117,hese83,81,social,0.007985627149301797,50.0,0.15757974797532462,8.184200617834923,23.82312118503385
118,hese83,27,social,0.866913571715857,50.0,0.009353596953484887,6.786201236848991,21.027122423061982
119,hese83,91,social,0.005594320792277687,50.0,4.5397868702434395e-05,8.181203107138492,23.817126163640985
120,tost94,58,social,0.11547642248407881,50.0,0.5195292869379994,5.7907584860454415,19.036236921454886
121,tost94,94,social,0.03421436719026574,50.0,0.5389095462581485,6.25509494685153,19.964909843067062
122,tost94,30,social,0.04225536909941403,16.48932223455571,0.9999545723822351,5.124485999777817,17.703691948919634
123,tost94,14,social,0.002692834378449417,30.312876065819264,0.9999481379362881,8.307566879175784,24.06985370771557
124,tost94,95,nonsocial,0.2154522428109772,50.0,0.9999546021312976,0.7111023614708961,8.876924672305794
125,tost94,51,nonsocial,0.06133411443394461,50.0,0.0077066303800693335,6.482155447151397,20.419030843666796
126,tost94,45,nonsocial,0.8474492410910297,1.939529200700551,0.9999546021312976,6.745458572634881,20.945637094633764
127,tost94,19,nonsocial,0.9999546021312976,27.78833186832298,0.01460024698594299,7.433651911318089,22.32202377200018
128,beka95,20,social,4.5397868702434395e-05,1.0000000000000002,4.5397868702434395e-05,8.317788871748448,24.090297692860897
129,beka95,22,social,0.04646747391729762,29.305184188573854,4.5397868702434395e-05,7.7182240515229354,22.891168052409874
130,beka95,82,social,4.5397868702434395e-05,1.0,4.5397868702434395e-05,8.317788881534963,24.090297712433927
131,beka95,92,social,4.5397868702434395e-05,1.0,0.017920746827435597,8.317794115682517,24.090308180729036
132,beka95,89,nonsocial,0.22373924606633136,4.000381634214725,0.9999546021312976,7.016197535037109,21.48711501943822
133,beka95,53,nonsocial,0.12149811495918178,50.0,0.9999546021312976,1.8891051947384168,11.232930338840834
134,beka95,73,nonsocial,4.5397868702434395e-05,1.0000000000000024,9.468866791545185e-05,8.31790230116899,24.090524551701982
135,beka95,21,nonsocial,0.2687082873376871,50.0,0.9998383172752409,0.7068760067143918,8.868471962792785
136,piob00,40,nonsocial,0.13772249481574733,50.0,0.9999546021312976,1.215173748475328,9.885067446314658
137,piob00,28,nonsocial,0.6289653881219692,50.0,0.9999545888577035,0.707879539263351,8.870479027890703
138,piob00,18,nonsocial,0.02574051903874442,50.0,0.9999546021312976,3.877281911263421,15.209283771890844
139,piob00,26,nonsocial,0.04562676856310598,50.0,0.873071866142687,4.854796846421995,17.164313642207993
140,piob00,63,social,0.04414830038339777,50.0,0.9999546021312976,4.427762434582908,16.310244818529817
141,piob00,25,social,0.382606091500036,50.0,0.9999546021312976,1.3985152930706795,10.25175053550536
142,piob00,71,social,0.04342648943412552,40.755031373654255,0.9999546021312976,2.2242254600250635,11.90317086941413
143,piob00,77,social,0.2687372791481526,50.0,0.9999546021312976,0.7068709874701509,8.868461924304302
144,matr95,40,nonsocial,0.004685611002684125,50.0,0.9999546021312976,7.876389800340885,23.20749955004577
145,matr95,46,nonsocial,0.0816116868391338,9.266033218032243,0.8341110763937706,6.798227133726313,21.051174216816626
146,matr95,60,nonsocial,0.9999546021312976,18.24231336034723,4.5397868702434395e-05,7.635763047298628,22.726246043961257
147,matr95,96,nonsocial,0.3784562906579251,1.6607573635903332,0.9999546021312976,7.646866832538449,22.748453614440898
148,matr95,43,social,0.036701030314518844,50.0,0.18296628857143382,7.416317406688722,22.287354762741444
149,matr95,73,social,0.010481348582625996,34.68492113050745,4.731927159547285e-05,8.143741035021938,23.742202019407877
150,matr95,91,social,0.011785029679535493,50.0,8.588366706294692e-05,7.89632820523535,23.247376359834703
151,matr95,75,social,0.8522099443740533,50.0,4.5397868702434395e-05,7.00487737548945,21.4644747003429
152,male99,48,nonsocial,0.9999546021312976,1.2766984226184652,0.9999546021312976,7.13226297018841,21.719245889740822
153,male99,44,nonsocial,0.9120074463792645,50.0,4.5397868702434395e-05,7.166841632236906,21.788403213837814
154,male99,70,nonsocial,0.005602647043169432,50.0,4.5399073772295906e-05,8.181056260889903,23.816832471143808
155,male99,50,nonsocial,0.2198842154216474,50.0,4.5397868702434395e-05,4.591906332488488,16.638532614340978
