,BlockType,Alpha,Theta,Rho,neg_ll,BIC
0,social,4.5397868702434395e-05,1.0,0.0008699035300764768,33.27129063217571,78.1561842970751
1,nonsocial,0.9999546021312976,3.2034302917867525,0.9999546021312976,19.64189487026757,50.897392773258815
