participant_x,AQ_score,Gender,participant_y,BlockType,Alpha_Win,Theta_Win,Rho_Win,Alpha_Loss,Theta_Loss,Rho_Loss,Neg_LL,BIC,MatchedID,Rho_Index,Ambi_Index_Alpha_Win,Ambi_Index_Alpha_Loss,Ambi_Index_Rho_Win,Ambi_Index_Rho_Loss
alka88,13,female,alka88,social,0.7743520351339707,3.5367372530541763,0.8742415589317968,0.2821045609850912,1.0,0.5000713258484246,27.88332742930787,78.99386092406309,alka88,0.37417023308337216,-0.046358576073952995,0.22395391829699074,0.0540500026846944,0.0019175061096446955
alka88,13,female,alka88,nonsocial,0.7279934590600177,4.814618370532963,0.9282915616164912,0.5060584792820819,1.0,0.5019888319580693,20.91736097164701,65.06192800874138,alka88,0.42630272965842186,-0.046358576073952995,0.22395391829699074,0.0540500026846944,0.0019175061096446955
alsp92,1,male,alsp92,social,0.744718524463701,3.117483205027342,0.5091560190222454,0.5452699415117513,1.0,0.4999999999559297,32.42145577834793,88.0701176221432,alsp92,0.00915601906631569,0.05430413060795669,0.01366941556059309,0.283352194572135,1.5115626528228177e-08
alsp92,1,male,alsp92,nonsocial,0.7990226550716577,3.618249417605083,0.7925082135943804,0.5589393570723444,1.0,0.5000000150715562,23.670430698364875,70.5680674621771,alsp92,0.29250819852282417,0.05430413060795669,0.01366941556059309,0.283352194572135,1.5115626528228177e-08
anfi01,9,female,anfi01,social,0.8015559570495717,5.58062689943983,0.9545857616768922,0.3275274615977839,2.019642958175246,0.4999483761343025,13.865801058421322,50.95880818228999,anfi01,0.45463738554258976,-0.3003549270256919,-0.10864193497190969,-0.0775282638035617,5.1623151897106645e-05
anfi01,9,female,anfi01,nonsocial,0.5012010300238798,3.6096637783166297,0.8770574978733305,0.2188855266258742,1.0,0.4999999992861996,27.46864053138819,78.16448712822373,anfi01,0.37705749858713095,-0.3003549270256919,-0.10864193497190969,-0.0775282638035617,5.1623151897106645e-05
ango96,3,female,ango96,nonsocial,0.6917670267082177,2.8475731604956973,0.6169626161205071,0.4990345257354149,1.0,0.4999999781276619,31.720724626356013,86.66865531815938,ango96,0.11696263799284518,0.16917949172440372,-0.0009398100987701996,-0.26818962195526996,-5.495296534485661e-08
ango96,3,female,ango96,social,0.5225875349838139,4.064900131067045,0.885152238075777,0.4999743358341851,1.0,0.5000000330806272,23.420402286581822,70.068010638611,ango96,0.3851522049951498,0.16917949172440372,-0.0009398100987701996,-0.26818962195526996,-5.495296534485661e-08
anpe97,15,female,anpe97,social,0.2569368560746614,3.8086434793353594,0.735099679274397,0.6923336957131633,1.0,0.4999999991611792,24.367167864453354,71.96154179435405,anpe97,0.2350996801132178,0.525914990655151,-0.6128453805429367,0.18142810676499543,2.972642687559812e-09
anpe97,15,female,anpe97,nonsocial,0.7828518467298125,4.51799694199226,0.9165277860393924,0.0794883151702266,1.0,0.5000000021338219,26.21583926955599,75.65888460455932,anpe97,0.41652778390557055,0.525914990655151,-0.6128453805429367,0.18142810676499543,2.972642687559812e-09
