Participant_ID,BlockType,Alpha_Win,Theta_Win,Rho_Win,Alpha_Loss,Theta_Loss,Rho_Loss,Neg_LL,BIC
pada94,nonsocial,0.6203369682135724,3.3772254486546025,0.8541094002757443,0.6074729910958988,1.0,0.5125526591692083,25.36250791548631,73.95222189641997
pada94,social,0.7852439757349216,5.091969110123923,0.944823516503785,0.18531269320327723,1.0,0.4993850485006264,22.20163713232047,67.63048033008829
lira02,nonsocial,0.19635848312201523,4.192568049633614,0.7004068400740976,0.5424680818584601,1.0,0.4901828610986637,25.60343695854211,74.43407998253157
lira02,social,0.7266456938750747,3.006838700268806,0.6616684079761864,0.8185707942025725,1.0,0.699219134862807,27.86326506694118,78.95373619932971
beka93,social,0.6465274531861329,3.8049984077247325,0.875873115718808,0.2870902016556878,1.1222649457125886,0.4121889148428688,26.219537885866803,75.66628183718095
beka93,nonsocial,0.6961342828289795,4.606224272624795,0.934175901741806,0.19919179845137747,1.0,0.5057711832325948,24.10323166814272,71.43366940173279
mada01,social,0.7691610487535718,4.206061916616757,0.9836217776824895,0.931453343235274,1.0,0.6630598691500152,31.00461480199594,85.23643566943923
mada01,nonsocial,0.7654563922080374,5.155478055738422,0.9475635642949524,0.15037541324164658,1.0,0.4988282874637911,21.385336515317846,65.99787909608304
chga99,nonsocial,4.5397868702434395e-05,1.0,0.5000000033948436,0.9999546021312976,1.0,0.9999546021312976,66.44638055553426,156.11996717651587
chga99,social,0.9999474543497034,1.0,0.4753423509897921,9.85678378355179e-05,33.49722698052666,0.8638655972354834,170.4262904983498,364.0797870621469
flsc98,nonsocial,0.8256903014997069,4.90258214831849,0.9495015512841033,0.1416538718502583,2.296645394491808,0.4999999790395807,13.1716317153336,49.57046949611455
flsc98,social,0.7760903839490005,5.718624897920004,0.9618265963286283,0.11587840387297427,2.360712808142222,0.5000001412974389,14.467731990087369,52.162670045622086
flcs96,social,0.8465639151593707,3.72016236172192,0.9324004323992519,0.0547110112322875,1.8259349828144444,0.49999872545571444,14.906644830333061,53.04049572611347
flcs96,nonsocial,0.829669036843548,3.828123946802876,0.9563797402009878,0.15694858923862548,2.5119111118710475,0.49999999374762044,12.086457685842785,47.40012143713292
mike91,nonsocial,0.2091276356298937,2.6900730374123376,0.9451779849099538,0.6318876814718237,1.0,0.493498636360812,30.282650134562708,83.79250633457276
mike91,social,0.7113419185158893,4.330082714077204,0.8877505909777792,0.3385773063790761,1.0,0.5000000007014586,24.320429448534046,71.86806496251543
nona99,nonsocial,0.7438361515874363,3.5975992728517836,0.7097676585004223,0.5039119772833105,1.0,0.3401635106024239,28.482954320360097,80.19311470616753
nona99,social,0.4999964244908542,5.730663490362843,0.7452540988668376,0.49770521171919707,1.0,0.33369466763567573,24.475264481828823,72.177735029105
ango96,social,0.5409807397973371,4.2963895950546105,0.8467816489791323,0.4450797547376816,1.0,0.8327160164814236,23.916893916763634,71.06099389897462
ango96,nonsocial,0.3128734413635778,2.8871436981088734,0.6397075867184746,0.39907900803329727,1.0,0.4999998417454835,32.4552922547452,88.13779057493775
elgr00,social,0.7836152151168198,5.023662338755525,0.9472885426721345,0.25880921378708205,1.0,0.49994285284236223,11.62703315942381,46.48127238429497
elgr00,nonsocial,0.8076203731664535,5.227189597615735,0.959111524603098,0.11258484217940576,3.099455390663573,0.4999999985475465,15.388160523629526,54.0035271127064
supu93,nonsocial,0.7700427165637509,16.207622346187797,0.8758206381585111,0.41303328970099557,1.0,0.24866420895422836,39.226937266976854,101.68108059940106
supu93,social,0.42748065276119607,4.725254993980725,0.9243844450632863,0.00985272081989144,1.0,0.5898697055360772,31.940518003728275,87.10824207290389
sisp99,social,0.6947042868864459,3.316190119314838,0.49809547295265816,0.4952292430064245,1.0,0.49970678520935186,31.547639122657348,86.32248431076204
sisp99,nonsocial,0.41234816071420927,3.425184453272292,0.797544175495832,0.49362670973352846,1.0,0.498998736550288,29.888415358368512,83.00403678218437
caka98,nonsocial,0.7015559753661619,2.11854266465231,0.528928721668127,0.8128807217032986,1.0,0.44977127540250555,31.137987394827224,85.50318085510179
caka98,social,0.7315713938073654,5.132254778821668,0.919724831844871,0.336282268111692,1.1485778587650106,0.5148941976427285,18.007933422504372,59.24307291045609
papa97,nonsocial,0.037695287045267874,4.902517419313689,0.8328678629989831,0.5939749943221467,1.0,0.757330467832972,30.78158460360597,84.79037527265929
papa97,social,0.504489420738959,3.11780197712192,0.7514099633211202,0.4660122964427514,1.0,0.5011690114835547,30.790427329967464,84.80806072538228
kaho97,social,0.5883023445590435,4.320213158703363,0.899807427748564,0.25412144076509163,1.0,0.4999921270810374,25.854911580119147,74.93702922568565
kaho97,nonsocial,0.8078068406445758,4.699130017993839,0.9440208422781625,0.37965026385726536,1.5128894191425042,0.500001544407616,21.44059380207389,66.10839366959513
hese83,nonsocial,0.3924912228945613,3.2577941660121397,0.7048735998906694,0.5859979461835761,1.0,0.49999999974432474,28.04189477191737,79.31099560928209
hese83,social,0.3112909255508318,4.844021837805259,0.6205417903055475,0.5054562726000058,1.0,0.1991810381696985,30.029503372102642,83.28621280965262
tost94,social,0.6707798592435659,4.222173492973738,0.9076286197535068,0.502738338709807,1.0,0.5084754115995075,24.824270727845487,72.87574752113832
tost94,nonsocial,0.7285694185065255,4.91923431883634,0.9132300457118744,0.2334403129314308,1.0,0.44226085971891194,25.640660361336632,74.5085267881206
beka95,social,0.6499151527301208,1.0,0.06485235440634253,0.04623312951335189,4.178368583432984,0.500090810902714,32.37731454714204,87.98183515973143
