Participant_ID,BlockType,Alpha,Theta,Rho,neg_ll,BIC
pada94,nonsocial,0.4999857109253062,6.91729366346764,0.5023527633701854,24.060016482697865,59.733635998119404
pada94,social,0.19225305503014986,13.449446377027865,0.9162822049069005,20.09671911416657,51.80704126105682
lira02,nonsocial,0.017598429796203113,32.36953872835453,0.8458732398861974,29.22124678399787,70.05609660071941
lira02,social,0.9024655508151368,8.74806293899539,0.19171096727177733,26.486665075972166,64.586933184668
beka93,social,0.23610336829910405,5.932761907618812,0.9484070149964511,23.245701003259505,58.105005039242684
beka93,nonsocial,0.09078176302874354,11.531241554521712,0.9394862586287436,25.130810731033723,61.87522449479112
mada01,social,0.7300577296281321,44.769282414837384,0.5305749555565213,198.30780949661118,408.22922202594606
mada01,nonsocial,0.12348675669958736,15.965091099709385,0.8807456296787802,20.303648843581403,52.22090071988648
chga99,nonsocial,0.09724628315017088,10.167025560018526,0.6257904602839909,28.874021943322056,69.36164691936779
chga99,social,0.48120051958725174,4.186406430547768,0.8139367032434042,21.496776610024828,54.60715625277333
hase90 3,nonsocial,0.27471061533051155,4.958444335832815,0.4359667502504409,30.297894163552872,72.20939135982943
hase90 3,social,0.2573169340421247,1.4395100301739285,0.27346650137552286,33.53342623275559,78.68045549823485
mike91,nonsocial,0.20185846811564326,2.4455999400857245,0.9195293529829789,31.315454575676394,74.24451218407646
mike91,social,0.131733091573582,4.051944197813756,0.8305603507889666,29.83744615302046,71.28849533876459
nona99,nonsocial,0.26711888221777214,1.7512275487428577,0.8181648083814271,31.719274897680954,75.05215282808558
nona99,social,0.019811317667384275,31.78334112374959,0.7038913293421731,29.548670614468104,70.71094426165988
ango96,social,0.06009917897086445,18.953893746274154,0.7996719401708977,25.958457367860575,63.530517768444824
ango96,nonsocial,0.635244982867763,1.0,0.6001606686822876,32.88618936498779,77.38598176269926
supu93,nonsocial,0.16577676699079616,11.59455457506794,0.8175078228553982,17.18242154270761,45.97844611813889
supu93,social,0.17619417906872648,2.332054773805821,0.7881776091803936,31.415579779523274,74.44476259177023
sisp99,social,0.5161121410387178,1.1239909888453359,0.4515549827835021,32.68799935522162,76.98960174316692
sisp99,nonsocial,0.02823237530802821,37.84512973778259,0.4188752717199195,32.56117471208077,76.73595245688522
caka98,nonsocial,0.6480228167786787,4.943030252593552,0.22637468894671414,30.30382978330249,72.22126259932865
caka98,social,0.17772419937969605,8.922186686052575,0.8602907227493359,18.008884912417365,47.631372857558404
papa97,nonsocial,0.49999999912458715,2.577186493802588,0.4151991013275564,31.06421603657924,73.74203510588215
papa97,social,0.5000000086086587,1.142124547374103,0.6157395872134086,32.45494508241438,76.52349319755244
kaho97,social,0.002812660969494527,47.0845633028316,0.4979880170770035,36.62872609670379,84.87105522613125
kaho97,nonsocial,0.09118439762604429,29.055980977816493,0.7703447821126623,19.11335492441231,49.84031288154829
